Ref,Val,Package,PosX,PosY,Rot,Side
"U11","MCP9808T-E_MS","MCP9808T-E_MS",-72.450000,62.650000,90.000000,bottom
"U12","ADXRS453BEYZ","ADXRS453BEYZ",-49.200000,69.000000,90.000000,bottom
"U13","MCP9808T-E_MS","MCP9808T-E_MS",-64.800000,63.100000,180.000000,bottom
"U14","ADXRS453BEYZ","ADXRS453BEYZ",-33.900000,65.500000,0.000000,bottom
"U15","ADXRS453BRGZ","ADXRS453BRGZ",-19.230000,65.000000,0.000000,bottom
"U16","ATSAMV71Q21B-AAB","ATSAMV71Q21B-AAB",-58.900000,43.100000,0.000000,bottom
"U17","MagI2C","RM3100_MAGI2C",-12.200000,31.100000,180.000000,bottom
"U18","Sen-Z-f","RM3100_SEN_Z_modified",-13.200000,24.300000,180.000000,bottom
"U19","Sen-Y-f","RM3100_SEN_XY_modified",-18.400000,23.500000,-90.000000,bottom
"U20","Sen-X-f","RM3100_SEN_XY_modified",-12.700000,21.100000,180.000000,bottom
"Y3","FC-135_32.7680KA-AG3","FC135327680KAAG3",-44.600000,56.800000,0.000000,bottom
"Y4","ECS-TXO-2520-33-160-AN-TR","ECSTXO252033160ANTR",-50.050000,28.900000,90.000000,bottom
